CODICEIDENTIFICATIVOSITO;LATITUDINE
2112;41,55404142
2113;38,18235052
2117;45,73083169
2118;45,21971326
2119;46,18183947
2120;40,84112547
2122;40,8366588
2124;37,5171713
2126;36,9518576
2127;46,116087
2128;45,4396385
2129;45,59714079
2130;45,1345812
2131;37,55795784
2132;44,76798914
2135;38,1940297
2136;40,8855462
2137;44,7005148
2138;44,5529167
2139;44,50776257
2140;44,47485502
2141;45,0864665
2142;41,4442431
2143;40,94358985
2144;45,1924118
2145;40,92738244
2146;40,41678316
2146;40,41678316
2147;40,60104592
2149;43,86384149
2150;40,39583775
2151;45,06611116
2152;40,74273935
2153;40,8163934
2153;40,8163934
2154;45,72208783
2154;45,72208783
2155;45,78434781
2156;43,83221653
2157;45,28509346
2159;44,350947
2161;44,636428
2162;45,4770895
2162;45,4770895
2162;45,4770895
2163;43,02062298
2167;46,06220592
2168;45,5835206
2170;44,51577497
2170;44,51577497
2171;45,63867732
2171;45,63867732
2172;44,39797476
2172;44,39797476
2173;43,9098114
2173;43,9098114
2173;43,9098114
2174;42,40255345
2174;42,40255345
2175;45,21481059
2175;45,21481059
2176;44,0354997
2176;44,0354997
2177;37,2928411
2178;38,11374707
2180;43,84006454
2181;44,9006793
2182;40,05791545
2186;37,0741526
2187;45,38298093
2188;45,58835036
2189;44,61397165
2189;44,61397165
2195;42,8536043
2196;45,54748
2196;45,54748
2197;42,08191755
2198;44,9157435
2200;37,63441983
2201;44,96013
2202;44,62254564
2202;44,62254564
2203;44,494887
2203;44,494887
2204;41,837214
2205;41,83395061
2206;41,9015141
2207;41,5944018
2208;41,9015141
2209;43,86445435
2210;41,833762
2213;45,6977959
2214;41,9315064
2220;44,980456
2227;41,68689317
2228;39,5050446
2229;41,71892953
2230;41,6679429
2232;44,40726
2233;41,7949229
2234;41,9013687
2235;41,90428
2236;41,7997566
2237;45,50639709
2239;43,89509355
2240;45,78060811
2241;40,89437018
2243;44,40726
2244;45,91196295
2245;43,8344832
2246;40,84309404
2246;40,84309404
2248;37,51705065
2248;37,51705065
2249;37,60272478
2250;39,20740111
2251;42,8536043
2251;42,8536043
2252;40,674022
2253;41,64799052
2254;44,68932396
2254;44,68932396
2256;44,14926749
2257;39,40290322
2258;45,44386
2259;46,55803742
2260;36,85389858
2261;45,5454787
2262;45,037245
2263;45,8526413
2264;45,69788356
2265;44,1396438
2266;45,6533446
2267;45,40532056
2268;39,2266774
2269;40,81309787
2270;44,00609768
2270;44,00609768
2271;44,13054816
2271;44,13054816
2272;45,3754135
2273;39,59915486
2275;41,1261556
2275;41,1261556
2276;41,58448674
2277;45,4683397
2278;42,9004262
2278;42,9004262
2279;42,9022391
2280;40,61698535
2283;41,411677
2284;42,0174453
2285;40,55871087
2285;40,55871087
2286;42,4683149
2286;42,4683149
2287;46,07276
2288;39,66479257
2289;38,18235052
2289;38,18235052
2290;45,6514283
2292;40,555803
2293;41,85947487
2294;38,13567085
2294;38,13567085
2295;37,0677283
2296;44,05320511
2296;44,05320511
2299;37,50768063
2300;39,450607
2301;45,17394856
2302;40,7259269
2303;45,93151858
2304;44,0642123
2305;45,542075
2306;46,1405295
2307;45,00940965
2308;41,999617
2309;45,06510654
2310;44,7800599
2310;44,7800599
2311;44,87028545
2311;44,87028545
2312;41,1256631
2312;41,1256631
2313;44,54433
2313;44,54433
2314;44,64934809
2314;44,64934809
2315;40,41393191
2315;40,41393191
2316;41,1045947
2316;41,1045947
2317;44,64368579
2317;44,64368579
2318;44,8404288
2318;44,8404288
2319;44,49838152
2319;44,49838152
2320;44,53820825
2320;44,53820825
2321;39,2982629
2322;41,1171432
2322;41,1171432
2323;42,8810045
2323;42,8810045
2324;44,8161912
2324;44,8161912
2325;41,3179885
2325;41,3179885
2326;40,4657939
2326;40,4657939
2327;44,61990616
2327;44,61990616
2328;44,57625589
2328;44,57625589
2329;41,45417148
2329;41,45417148
2330;44,49339595
2330;44,49339595
2331;44,4922613
2332;41,74817304
2332;41,74817304
2332;41,74817304
2333;43,548473
2333;43,548473
2333;43,548473
2335;43,28287181
2336;41,9015141
2336;41,9015141
2336;41,9015141
2336;41,9015141
2337;45,0887042
2338;45,3987431
2339;45,59347049
2340;40,91385611
2341;39,90183204
2343;40,45923617
2343;40,45923617
2344;43,08948878
2346;42,87349006
2346;42,87349006
2347;45,6716942
2348;45,4098919
2349;45,4673791
2350;37,56168402
2351;45,59563293
2353;44,6985906
2353;44,6985906
2353;44,6985906
2354;45,716702
2355;45,330073
2356;40,76591282
2357;45,19451743
2358;45,691379
2359;45,91923706
2360;38,0862433
2361;42,090508
2362;44,32917248
2363;39,00755812
2364;42,77382265
2365;41,05067593
2365;41,05067593
2365;41,05067593
2366;45,55739331
2366;45,55739331
2369;45,8284779
